,product_id,onsale_web,price,stock_quantity,stock_status
500,5396,1,17.1,34,instock
501,5397,1,24.0,6,instock
502,5398,1,39.0,10,instock
503,5439,1,13.2,0,outofstock
504,5443,1,23.6,2,instock
505,5444,1,15.5,37,instock
506,5445,1,16.3,11,instock
507,5446,1,16.2,30,instock
508,5448,1,7.2,0,outofstock
509,5465,1,54.8,12,instock
510,5474,1,42.0,0,outofstock
511,5477,1,19.8,38,instock
512,5479,1,10.2,69,instock
513,5480,1,10.4,37,instock
514,5481,1,11.5,46,instock
515,5483,1,17.9,22,instock
516,5484,1,21.6,0,outofstock
517,5485,1,33.4,13,instock
518,5486,1,49.5,5,instock
519,5487,1,43.5,1,instock
520,5488,1,43.5,17,instock
521,5491,1,26.5,15,instock
522,5504,1,13.8,35,instock
523,5505,0,10.1,0,outofstock
524,5506,1,18.2,63,instock
525,5519,1,12.9,35,instock
526,5520,1,38.6,54,instock
527,5522,1,48.4,10,instock
528,5523,1,60.4,16,instock
529,5524,1,38.6,0,outofstock
530,5525,1,12.0,0,outofstock
531,5544,1,61.6,0,outofstock
532,5545,1,65.9,0,outofstock
533,5546,1,15.2,130,instock
534,5547,1,24.6,32,instock
535,5548,1,48.8,6,instock
536,5550,1,34.3,0,outofstock
537,5551,1,36.3,18,instock
538,5552,1,57.7,12,instock
539,5554,1,38.0,10,instock
540,5559,0,27.9,3,instock
541,5560,0,47.0,62,instock
542,5561,1,58.0,0,outofstock
543,5563,1,58.0,0,outofstock
544,5564,1,30.8,21,instock
545,5565,1,92.0,0,outofstock
546,5566,1,27.5,17,instock
547,5569,0,19.9,1,instock
548,5570,0,22.5,0,outofstock
549,5573,1,34.7,5,instock
550,5574,1,59.6,9,instock
551,5580,1,83.7,18,instock
552,5608,1,30.5,20,instock
553,5609,1,38.6,25,instock
554,5610,1,18.0,11,instock
555,5611,1,63.4,1,instock
556,5612,1,124.8,12,instock
557,5613,1,19.2,11,instock
558,5614,1,19.2,39,instock
559,5615,1,56.4,11,instock
560,5616,1,38.4,6,instock
561,5617,1,27.8,12,instock
562,5618,1,71.3,31,instock
563,5619,1,71.3,13,instock
564,5628,1,25.0,20,instock
565,5629,1,10.3,51,instock
566,5630,1,28.0,1,instock
567,5690,1,44.6,8,instock
568,5693,1,13.0,55,instock
569,5694,1,12.7,62,instock
570,5695,1,6.5,123,instock
571,5696,1,17.5,35,instock
572,5697,1,29.9,1,instock
573,5700,1,44.5,0,outofstock
574,5703,1,29.4,1,instock
575,5704,1,16.9,5,instock
576,5705,1,19.8,9,instock
577,5706,1,10.3,22,instock
578,5707,1,10.8,13,instock
579,5709,1,31.7,0,outofstock
580,5711,1,25.0,35,instock
581,5712,1,57.6,0,outofstock
582,5715,1,13.7,35,instock
583,5722,1,7.1,118,instock
584,5736,1,14.9,10,instock
585,5737,1,11.0,12,instock
586,5738,1,14.6,26,instock
587,5739,1,10.7,39,instock
588,5741,1,73.3,0,outofstock
589,5742,1,42.1,0,outofstock
590,5743,1,57.0,0,outofstock
591,5747,1,24.5,1,instock
592,5753,1,10.1,101,instock
593,5756,1,42.2,30,instock
594,5760,1,13.1,37,instock
595,5761,1,19.5,0,outofstock
596,5764,1,12.9,84,instock
597,5766,1,35.6,30,instock
598,5767,1,175.0,12,instock
599,5768,1,35.6,0,outofstock
600,5769,1,33.6,0,outofstock
601,5770,1,34.4,54,instock
602,5771,1,38.4,3,instock
603,5772,1,29.7,47,instock
604,5773,1,32.8,18,instock
605,5777,1,5.7,132,instock
606,5778,1,5.8,36,instock
607,5779,1,5.8,211,instock
608,5794,1,21.7,34,instock
609,5795,1,23.0,18,instock
610,5796,1,12.5,12,instock
611,5797,1,17.2,123,instock
612,5799,1,40.2,0,outofstock
613,5800,0,32.3,0,outofstock
614,5801,1,24.0,62,instock
615,5802,1,23.8,22,instock
616,5803,1,17.1,36,instock
617,5804,1,25.0,0,outofstock
618,5805,0,29.2,0,outofstock
619,5806,1,17.4,0,outofstock
620,5807,1,27.3,1,instock
621,5808,0,34.2,1,instock
622,5809,1,17.9,0,outofstock
623,5810,1,24.0,95,instock
624,5815,1,16.6,11,instock
625,5816,1,16.9,5,instock
626,5817,1,57.6,5,instock
627,5818,1,63.5,19,instock
628,5819,1,56.0,1,instock
629,5820,1,63.5,7,instock
630,5826,1,41.2,0,outofstock
631,5827,1,55.0,11,instock
632,5829,1,57.0,26,instock
633,5890,1,19.3,55,instock
634,5891,1,19.0,4,instock
