,product_id,id_web
549,5573,14729
550,5574,8463
551,5580,13982
552,5608,15944
553,5609,15930
554,5610,14912
555,5611,15945
556,5612,14915
557,5613,14855
558,5614,14856
559,5615,15923
560,5616,14845
561,5617,14844
562,5618,15921
563,5619,15922
564,5628,12366
565,5629,8365
566,5630,12365
567,5690,14647
568,5693,15812
569,5694,14661
570,5695,16304
571,5696,15797
572,5697,16094
573,5700,14736
574,5703,11736
575,5704,15036
576,5705,15360
577,5706,15674
578,5707,13557
579,5709,15035
580,5711,16121
581,5712,14241
582,5715,14982
583,5722,15026
584,5736,15116
585,5737,15369
586,5738,15566
587,5739,16003
588,5741,15127
589,5742,15125
590,5743,14323
591,5747,15631
592,5753,16147
593,5756,7033
594,5760,11258
595,5761,13849
596,5764,15818
597,5766,15179
598,5767,15185
599,5768,15183
600,5769,15254
601,5770,15178
602,5771,15184
603,5772,15180
604,5773,15264
605,5777,14338
606,5778,15561
607,5779,16213
608,5794,14692
609,5795,13291
610,5796,13895
611,5797,15688
612,5799,14461
613,5800,14689
614,5801,11277
615,5802,15399
616,5803,13572
617,5804,14955
618,5805,
619,5806,13567
620,5807,15471
621,5808,
622,5809,15080
623,5810,14429
624,5815,15238
625,5816,15237
626,5817,14600
627,5818,15241
628,5819,11933
629,5820,15240
630,5826,15325
631,5827,15328
632,5829,15329
633,5890,15775
634,5891,15774
635,5892,14983
636,5893,13910
637,5894,16539
638,5896,15910
639,5899,12339
640,5900,12869
641,5902,14095
642,5903,14099
643,5904,15856
644,5905,12881
645,5906,15857
646,5907,12882
647,5912,15227
648,5913,10014
649,5914,14265
650,5916,14774
651,5917,14775
652,5918,14773
653,5922,15343
654,5925,15351
655,5930,16323
656,5932,523
657,5950,15432
658,5951,16472
659,5952,
660,5953,14379
661,5954,15609
662,5955,14377
663,5956,15895
664,5957,13577
665,5958,15577
666,5959,15766
667,5960,15892
668,5962,16326
669,5963,15574
670,5964,13662
671,5967,11669
672,5968,13215
673,5969,13211
674,6035,15342
675,6038,15318
676,6041,13073
677,6042,16159
678,6047,16264
679,6049,14899
680,6050,15134
681,6070,16133
682,6072,16028
683,6073,15951
684,6093,15487
685,6094,15486
686,6095,15489
687,6100,15529
688,6101,14089
689,6103,14100
690,6104,14092
691,6105,14090
692,6106,14106
693,6107,14101
694,6108,14797
695,6109,15201
696,6125,
697,6126,14923
698,6127,14573
699,6128,14569
700,6129,14570
701,6137,15834
702,6201,14596
703,6202,15126
704,6204,14604
705,6205,16565
706,6206,16580
707,6207,16077
708,6212,13996
709,6213,15072
710,6214,11601
711,6215,12790
712,6216,15070
713,6221,16096
714,6222,7032
715,6223,15324
716,6225,15162
717,6226,15161
718,6227,15163
719,6278,16273
720,6279,16247
721,6280,15654
722,6299,15710
723,6301,15745
724,6324,
725,6325,15678
726,6327,
727,6328,15810
728,6567,15779
729,6568,15707
730,6569,15705
731,6570,15706
732,6572,15704
733,6573,15473
734,6575,15479
735,6578,15647
736,6584,15769
737,6585,15434
738,6592,15764
739,6594,
740,6615,16071
741,6616,15781
742,6617,16031
743,6618,15539
744,6620,16046
745,6621,15204
746,6622,15205
747,6626,15790
748,6627,15791
749,6628,15792
750,6629,15793
751,6631,15795
752,6632,15794
753,6635,15763
754,6663,16152
755,6664,15661
756,6665,16068
757,6666,16067
758,6738,8193
759,6751,16144
760,6753,15256
761,6821,
762,6824,
763,6825,
764,6826,
765,6864,
766,6866,
767,6869,
768,6875,
769,6884,15735
770,6886,14897
771,6887,15736
772,6898,
773,6899,
774,6900,
775,6901,
776,6902,
777,6903,
778,6904,
779,6905,
780,6906,
781,6907,
782,6908,
783,6909,
784,6920,15740
